tokens,frequency,relative_frequency
notch,7,0.0005276647067691844
three,7,0.0005276647067691844
everywhere,7,0.0005276647067691844
terminal,7,0.0005276647067691844
toilet,7,0.0005276647067691844
hot,7,0.0005276647067691844
bedroom,7,0.0005276647067691844
convenient,7,0.0005276647067691844
seen,7,0.0005276647067691844
week,7,0.0005276647067691844
husband,7,0.0005276647067691844
wanted,7,0.0005276647067691844
tiny,7,0.0005276647067691844
interior,7,0.0005276647067691844
castle,7,0.0005276647067691844
turned,7,0.0005276647067691844
brought,7,0.0005276647067691844
offered,7,0.0005276647067691844
point,6,0.0004522840343735866
luxurious,6,0.0004522840343735866
upgrade,6,0.0004522840343735866
treat,6,0.0004522840343735866
pools,6,0.0004522840343735866
massage,6,0.0004522840343735866
expected,6,0.0004522840343735866
highlight,6,0.0004522840343735866
working,6,0.0004522840343735866
10th,6,0.0004522840343735866
towels,6,0.0004522840343735866
given,6,0.0004522840343735866
visiting,6,0.0004522840343735866
designed,6,0.0004522840343735866
closet,6,0.0004522840343735866
availability,6,0.0004522840343735866
terrible,6,0.0004522840343735866
euros,6,0.0004522840343735866
managed,6,0.0004522840343735866
waited,6,0.0004522840343735866
ugly,6,0.0004522840343735866
problem,6,0.0004522840343735866
free,6,0.0004522840343735866
heart,6,0.0004522840343735866
cold,6,0.0004522840343735866
called,6,0.0004522840343735866
offer,6,0.0004522840343735866
asked,6,0.0004522840343735866
selection,6,0.0004522840343735866
stop,6,0.0004522840343735866
literally,6,0.0004522840343735866
worked,6,0.0004522840343735866
online,6,0.0004522840343735866
looked,6,0.0004522840343735866
several,6,0.0004522840343735866
overpriced,6,0.0004522840343735866
sadly,6,0.0004522840343735866
travel,6,0.0004522840343735866
none,6,0.0004522840343735866
fun,6,0.0004522840343735866
provided,6,0.0004522840343735866
sleek,6,0.0004522840343735866
luggage,6,0.0004522840343735866
hour,6,0.0004522840343735866
fine,6,0.0004522840343735866
sauna,6,0.0004522840343735866
late,6,0.0004522840343735866
mostly,6,0.0004522840343735866
review,6,0.0004522840343735866
waterfront,6,0.0004522840343735866
quiet,6,0.0004522840343735866
care,6,0.0004522840343735866
getting,6,0.0004522840343735866
impeccable,6,0.0004522840343735866
seemed,6,0.0004522840343735866
wifi,6,0.0004522840343735866
sun,6,0.0004522840343735866
polite,6,0.0004522840343735866
station,6,0.0004522840343735866
huge,6,0.0004522840343735866
business,6,0.0004522840343735866
went,6,0.0004522840343735866
eclectic,6,0.0004522840343735866
pretty,6,0.0004522840343735866
anywhere,6,0.0004522840343735866
extra,6,0.0004522840343735866
yet,6,0.0004522840343735866
touches,6,0.0004522840343735866
waiters,6,0.0004522840343735866
overlooking,6,0.0004522840343735866
know,6,0.0004522840343735866
elegant,5,0.00037690336197798886
july,5,0.00037690336197798886
sea,5,0.00037690336197798886
major,5,0.00037690336197798886
walked,5,0.00037690336197798886
quarter,5,0.00037690336197798886
terrace,5,0.00037690336197798886
half,5,0.00037690336197798886
box,5,0.00037690336197798886
friends,5,0.00037690336197798886
air,5,0.00037690336197798886
terrific,5,0.00037690336197798886
saunas,5,0.00037690336197798886
per,5,0.00037690336197798886
valet,5,0.00037690336197798886
euro,5,0.00037690336197798886
italian,5,0.00037690336197798886
catch,5,0.00037690336197798886
historic,5,0.00037690336197798886
odd,5,0.00037690336197798886
attention,5,0.00037690336197798886
decent,5,0.00037690336197798886
ultra,5,0.00037690336197798886
almost,5,0.00037690336197798886
including,5,0.00037690336197798886
mario,5,0.00037690336197798886
understand,5,0.00037690336197798886
incredible,5,0.00037690336197798886
items,5,0.00037690336197798886
try,5,0.00037690336197798886
surprised,5,0.00037690336197798886
house,5,0.00037690336197798886
plenty,5,0.00037690336197798886
despite,5,0.00037690336197798886
twice,5,0.00037690336197798886
person,5,0.00037690336197798886
expectations,5,0.00037690336197798886
nicer,5,0.00037690336197798886
group,5,0.00037690336197798886
inside,5,0.00037690336197798886
alessandro,5,0.00037690336197798886
chose,5,0.00037690336197798886
forward,5,0.00037690336197798886
apparently,5,0.00037690336197798886
weather,5,0.00037690336197798886
world,5,0.00037690336197798886
class,5,0.00037690336197798886
possible,5,0.00037690336197798886
pastries,5,0.00037690336197798886
ideal,5,0.00037690336197798886
couple,5,0.00037690336197798886
decided,5,0.00037690336197798886
slippers,5,0.00037690336197798886
hospitality,5,0.00037690336197798886
expect,5,0.00037690336197798886
properly,5,0.00037690336197798886
shuttle,5,0.00037690336197798886
beluga,5,0.00037690336197798886
pleased,5,0.00037690336197798886
clothes,5,0.00037690336197798886
considering,5,0.00037690336197798886
pillows,5,0.00037690336197798886
soon,5,0.00037690336197798886
photos,5,0.00037690336197798886
things,5,0.00037690336197798886
basically,5,0.00037690336197798886
reservations,5,0.00037690336197798886
since,5,0.00037690336197798886
clearly,5,0.00037690336197798886
pieces,5,0.00037690336197798886
efficient,5,0.00037690336197798886
received,5,0.00037690336197798886
someone,5,0.00037690336197798886
pompeii,5,0.00037690336197798886
comfy,5,0.00037690336197798886
met,5,0.00037690336197798886
common,5,0.00037690336197798886
safe,5,0.00037690336197798886
dark,5,0.00037690336197798886
customer,5,0.00037690336197798886
industrial,5,0.00037690336197798886
believe,5,0.00037690336197798886
probably,5,0.00037690336197798886
reservation,5,0.00037690336197798886
accommodate,5,0.00037690336197798886
downstairs,5,0.00037690336197798886
sent,5,0.00037690336197798886
islands,5,0.00037690336197798886
bottle,5,0.00037690336197798886
beginning,5,0.00037690336197798886
centre,5,0.00037690336197798886
bath,5,0.00037690336197798886
type,5,0.00037690336197798886
change,5,0.00037690336197798886
reviews,5,0.00037690336197798886
comfort,5,0.00037690336197798886
marina,5,0.00037690336197798886
