bigram,frequency,bigrams
"('was', 'delicious')",4,was delicious
"('we', 'are')",4,we are
"('being', 'in')",4,being in
"('could', 'have')",4,could have
"('for', 'any')",4,for any
"('not', 'the')",4,not the
"('every', 'day')",4,every day
"('wonderful', 'experience')",4,wonderful experience
"('valet', 'parking')",4,valet parking
"('pools', 'and')",4,pools and
"('buffet', 'is')",4,buffet is
"('lovely', 'stay')",4,lovely stay
"('t', 'wait')",4,t wait
"('on', 'my')",4,on my
"('ever', 'had')",4,ever had
"('in', 'front')",4,in front
"('are', 'a')",4,are a
"('front', 'of')",4,front of
"('very', 'few')",4,very few
"('ve', 'ever')",4,ve ever
"('best', 'i')",4,best i
"('going', 'to')",4,going to
"('nice', 'with')",4,nice with
"('experience', 'was')",4,experience was
"('there', 's')",4,there s
"('are', 'great')",4,are great
"('restaurant', 'are')",4,restaurant are
"('very', 'accommodating')",4,very accommodating
"('you', 'walk')",4,you walk
"('small', 'but')",4,small but
"('a', 'long')",4,a long
"('old', 'city')",4,old city
"('spa', 'and')",4,spa and
"('that', 'i')",4,that i
"('for', 'what')",4,for what
"('s', 'the')",4,s the
"('restaurant', 'were')",4,restaurant were
"('i', 'stayed')",4,i stayed
"('i', 'love')",4,i love
"('t', 'even')",4,t even
"('very', 'busy')",4,very busy
"('food', 'in')",4,food in
"('staff', 'we')",4,staff we
"('corner', 'suite')",4,corner suite
"('had', 'the')",4,had the
